,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5,ID
70,71,164,120,67,204,0.46631091833114624,0.16613996028900146,0.03215095028281212,0.030478093773126602,0.0242573581635952,1648900_5.jpg
71,24,97,66,136,112,0.6103516817092896,0.13121527433395386,0.08043070137500763,0.025972256436944008,0.024211592972278595,1648900_6.jpg
72,181,138,104,43,120,0.7160254716873169,0.10581345856189728,0.027422994375228882,0.020815085619688034,0.020400112494826317,169416_0.jpg
73,181,138,104,43,120,0.7160254716873169,0.10581345856189728,0.027422994375228882,0.020815085619688034,0.020400112494826317,169416_1.jpg
74,24,97,66,11,95,0.6319634914398193,0.3337765336036682,0.014089723117649555,0.013020103797316551,0.005753210745751858,169416_2.jpg
75,136,112,64,198,70,0.4765337109565735,0.43649372458457947,0.01897616870701313,0.017508864402770996,0.014845569618046284,169416_3.jpg
76,136,112,64,70,109,0.3270075023174286,0.3020312786102295,0.11335229873657227,0.10458342730998993,0.043366219848394394,169416_4.jpg
77,195,138,120,154,43,0.3434893488883972,0.1154845580458641,0.08498302847146988,0.06322720646858215,0.03079049289226532,1720513_0.jpg
78,195,138,120,154,43,0.3434893488883972,0.1154845580458641,0.08498302847146988,0.06322720646858215,0.03079049289226532,1720513_1.jpg
79,108,109,84,134,20,0.5114737749099731,0.3866671621799469,0.04830750823020935,0.023279234766960144,0.008081167005002499,1720513_2.jpg
80,24,97,136,112,66,0.5365034341812134,0.1920863837003708,0.1079503744840622,0.0699414610862732,0.022341657429933548,1720513_3.jpg
81,204,67,138,71,164,0.22957459092140198,0.14887242019176483,0.11314592510461807,0.07565613090991974,0.06926083564758301,1720513_4.jpg
82,24,66,112,97,136,0.5273662805557251,0.37863749265670776,0.03078792430460453,0.02588420733809471,0.0118976766243577,1720513_5.jpg
83,24,136,112,97,66,0.28243160247802734,0.27717405557632446,0.19680914282798767,0.1351059377193451,0.070417620241642,1720513_6.jpg
84,64,136,112,70,113,0.24984820187091827,0.24019686877727509,0.1975567787885666,0.11490483582019806,0.04749742150306702,1722167_0.jpg
85,64,136,112,70,113,0.24984820187091827,0.24019686877727509,0.1975567787885666,0.11490483582019806,0.04749742150306702,1722167_1.jpg
86,112,136,64,70,113,0.2461918145418167,0.2455604076385498,0.14632205665111542,0.069172702729702,0.03555424138903618,1722167_2.jpg
87,112,93,136,24,9,0.31512385606765747,0.17598530650138855,0.12475629150867462,0.06542889773845673,0.05105429142713547,1722167_3.jpg
88,97,24,11,66,112,0.5823230147361755,0.37922316789627075,0.014071503654122353,0.008976235054433346,0.0047386218793690205,1722167_4.jpg
