,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5,ID
37,195,136,112,138,70,0.6486836075782776,0.1304895132780075,0.05981303006410599,0.04635532200336456,0.01833614520728588,6506207_6.jpg
38,195,154,138,152,26,0.5226446390151978,0.17821219563484192,0.06842446327209473,0.04395845904946327,0.012762175872921944,6589558_0.jpg
39,64,136,112,70,97,0.21923956274986267,0.1927908957004547,0.18760046362876892,0.15654170513153076,0.06466050446033478,66188_0.jpg
40,197,149,121,47,28,0.22855491936206818,0.17649447917938232,0.08824491500854492,0.056774891912937164,0.055073082447052,6913633_0.jpg
41,197,149,121,47,28,0.22855491936206818,0.17649447917938232,0.08824491500854492,0.056774891912937164,0.055073082447052,6913633_1.jpg
42,80,28,138,55,174,0.19109408557415009,0.1365269124507904,0.10292041301727295,0.06672413647174835,0.06360475718975067,6913633_2.jpg
43,138,91,67,57,80,0.2521873116493225,0.1495363712310791,0.11696068942546844,0.08589781075716019,0.07568379491567612,6913633_3.jpg
44,110,20,174,45,33,0.6548787951469421,0.09902719408273697,0.040678370743989944,0.023736922070384026,0.021388601511716843,6913633_4.jpg
45,167,114,20,105,97,0.9992098808288574,0.0002896056103054434,0.00016542711819056422,0.00016042076458688825,2.8419486625352874e-05,6913633_5.jpg
46,167,97,109,24,113,0.9561626315116882,0.019419074058532715,0.002457208698615432,0.0023606528993695974,0.002293227007612586,6913633_6.jpg
47,4,31,184,111,120,0.15146756172180176,0.10208643972873688,0.058739256113767624,0.05337177589535713,0.04673708975315094,7650100_0.jpg
48,197,121,171,90,170,0.17091523110866547,0.13604053854942322,0.08447636663913727,0.06795807182788849,0.06546607613563538,7827518_0.jpg
49,31,196,156,90,52,0.4671971797943115,0.3332422375679016,0.040185876190662384,0.034013159573078156,0.024990646168589592,7866059_0.jpg
50,43,115,139,149,104,0.7976421117782593,0.024653498083353043,0.02203710563480854,0.020360182970762253,0.019331874325871468,86456_0.jpg
51,43,115,139,149,104,0.7976421117782593,0.024653498083353043,0.02203710563480854,0.020360182970762253,0.019331874325871468,86456_1.jpg
52,136,24,112,93,9,0.23575958609580994,0.11130708456039429,0.09544750303030014,0.04912864416837692,0.043056827038526535,86456_2.jpg
53,55,164,131,28,43,0.36232638359069824,0.10378892719745636,0.09712845832109451,0.03730873018503189,0.03658036142587662,86456_3.jpg
54,28,91,149,139,75,0.13698223233222961,0.11521236598491669,0.07994695007801056,0.07839275896549225,0.07059260457754135,86456_4.jpg
55,149,78,28,176,83,0.451742559671402,0.09733745455741882,0.0644465982913971,0.06174284219741821,0.03693307191133499,86456_5.jpg
56,55,149,28,91,194,0.13857878744602203,0.13199222087860107,0.1304466277360916,0.1173454150557518,0.08674588799476624,86456_6.jpg
57,64,70,109,152,108,0.63686603307724,0.280790239572525,0.014099654741585255,0.013669589534401894,0.013573314063251019,973782_0.jpg
58,8,129,9,93,136,0.11815185844898224,0.0738927498459816,0.07228592038154602,0.07129863649606705,0.07090304046869278,985949_0.jpg
